"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Pin-tailed Snipe","Gallinago stenura","Pin-tailed Snipe"
"Swinhoe's/Pin-tailed Snipe","Gallinago megala/stenura","Swinhoe's/Pin-tailed Snipe"
"Common Snipe","Gallinago gallinago","Common Snipe"
"Pin-tailed/Common Snipe","Gallinago stenura/gallinago","Pin-tailed/Common Snipe"
"snipe sp.","Gallinago sp.","snipe sp."
"Red Phalarope","Phalaropus fulicarius","Red Phalarope"
"Red-necked Phalarope","Phalaropus lobatus","Red-necked Phalarope"
"Red/Red-necked Phalarope","Phalaropus fulicarius/lobatus","Red/Red-necked Phalarope"
"phalarope sp.","Phalaropus sp.","phalarope sp."
"Terek Sandpiper","Xenus cinereus","Terek Sandpiper"
"Common Sandpiper","Actitis hypoleucos","Common Sandpiper"
"Common/Spotted Sandpiper","Actitis hypoleucos/macularius","Common/Spotted Sandpiper"
"Green Sandpiper","Tringa ochropus","Green Sandpiper"
"Gray-tailed Tattler","Tringa brevipes","Grey-tailed Tattler"
"Marsh Sandpiper","Tringa stagnatilis","Marsh Sandpiper"
"Wood Sandpiper","Tringa glareola","Wood Sandpiper"
"Common Redshank","Tringa totanus","Common Redshank"
"Nordmann's Greenshank","Tringa guttifer","Nordmann's Greenshank"
"Spotted Redshank","Tringa erythropus","Spotted Redshank"
"Common/Spotted Redshank","Tringa totanus/erythropus","Common/Spotted Redshank"
"Common Greenshank","Tringa nebularia","Common Greenshank"
"Tringa sp.","Tringa sp.","Tringa sandpiper sp."
"Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone"
"Great Knot","Calidris tenuirostris","Great Knot"
"Red Knot","Calidris canutus","Red Knot"
"Great/Red Knot","Calidris tenuirostris/canutus","Great/Red Knot"
"Ruff","Calidris pugnax","Ruff"
"Broad-billed Sandpiper","Calidris falcinellus","Broad-billed Sandpiper"
"Sharp-tailed Sandpiper","Calidris acuminata","Sharp-tailed Sandpiper"
"Curlew Sandpiper","Calidris ferruginea","Curlew Sandpiper"
"Temminck's Stint","Calidris temminckii","Temminck's Stint"
"Long-toed Stint","Calidris subminuta","Long-toed Stint"
"Red-necked Stint","Calidris ruficollis","Red-necked Stint"
"Spoon-billed Sandpiper","Calidris pygmaea","Spoon-billed Sandpiper"
"Buff-breasted Sandpiper","Calidris subruficollis","Buff-breasted Sandpiper"
"Sanderling","Calidris alba","Sanderling"
"Dunlin","Calidris alpina","Dunlin"
"Curlew Sandpiper/Dunlin","Calidris ferruginea/alpina","Curlew Sandpiper/Dunlin"
"Little Stint","Calidris minuta","Little Stint"
"Red-necked/Little Stint","Calidris ruficollis/minuta","Red-necked/Little Stint"
"Pectoral Sandpiper","Calidris melanotos","Pectoral Sandpiper"
"peep sp.","Calidris sp. (peep sp.)","Stint sp. (Calidris sp.)"
"Calidris sp.","Calidris sp.","Calidris stint/sandpiper sp."
"Scolopacidae sp.","Scolopacidae sp.","Scolopacidae sp."
"large shorebird sp.","Scolopacidae sp. (large shorebird sp.)","large shorebird sp."
"Yellow-legged Buttonquail","Turnix tanki","Yellow-legged Buttonquail"
"Barred Buttonquail","Turnix suscitator","Barred Buttonquail"
"Small Buttonquail","Turnix sylvaticus","Small Buttonquail"
"buttonquail sp.","Turnix sp.","buttonquail sp."
"Crab-Plover","Dromas ardeola","Crab-Plover"
"Jerdon's Courser","Rhinoptilus bitorquatus","Jerdon's Courser"
"Cream-colored Courser","Cursorius cursor","Cream-colored Courser"
"Indian Courser","Cursorius coromandelicus","Indian Courser"
"Small Pratincole","Glareola lactea","Small Pratincole"
"Oriental Pratincole","Glareola maldivarum","Oriental Pratincole"
"Collared Pratincole","Glareola pratincola","Collared Pratincole"
"Oriental/Collared Pratincole","Glareola maldivarum/pratincola","Oriental/Collared Pratincole"
"Black-winged/Collared Pratincole","Glareola nordmanni/pratincola","Black-winged/Collared Pratincole"
"pratincole sp.","Glareola sp.","pratincole sp."
"shorebird sp.","Charadriiformes sp.","shorebird sp."
"Long-tailed Jaeger","Stercorarius longicaudus","Long-tailed Jaeger"
"Parasitic Jaeger","Stercorarius parasiticus","Parasitic Jaeger (Arctic Skua)"
"Pomarine Jaeger","Stercorarius pomarinus","Pomarine Jaeger (Pomarine Skua)"
"Long-tailed/Pomarine Jaeger","Stercorarius longicaudus/pomarinus","Long-tailed/Pomarine Jaeger"
"Parasitic/Pomarine Jaeger","Stercorarius parasiticus/pomarinus","Parasitic/Pomarine Jaeger"
"Brown Skua","Stercorarius antarcticus","Brown Skua"
"South Polar Skua","Stercorarius maccormicki","South Polar Skua"
"jaeger sp.","Stercorarius sp. (jaeger sp.)","jaeger sp."
"skua sp.","Stercorarius sp. (skua sp.)","skua sp."
"jaeger/skua sp.","Stercorarius sp.","jaeger/skua sp."
"Little Gull","Hydrocoloeus minutus","Little Gull"
"Black-legged Kittiwake","Rissa tridactyla","Black-legged Kittiwake"
"Sabine's Gull","Xema sabini","Sabine's Gull"
"Slender-billed Gull","Chroicocephalus genei","Slender-billed Gull"
"Black-headed Gull","Chroicocephalus ridibundus","Black-headed Gull"
"Slender-billed x Black-headed Gull (hybrid)","Chroicocephalus genei x ridibundus","Slender-billed x Black-headed Gull (hybrid)"
"Slender-billed/Black-headed Gull","Chroicocephalus genei/ridibundus","Slender-billed/Black-headed Gull"
"Brown-headed Gull","Chroicocephalus brunnicephalus","Brown-headed Gull"
"Black-headed/Brown-headed Gull","Chroicocephalus ridibundus/brunnicephalus","Black-headed/Brown-headed Gull"
"Franklin's Gull","Leucophaeus pipixcan","Franklin's Gull"
"Pallas's Gull","Ichthyaetus ichthyaetus","Pallas's Gull"
"Sooty Gull","Ichthyaetus hemprichii","Sooty Gull"
"White-eyed Gull","Ichthyaetus leucophthalmus","White-eyed Gull"
"Common Gull","Larus canus","Common Gull"
"Caspian Gull","Larus cachinnans","Caspian Gull"
"Herring Gull","Larus argentatus","Herring Gull"
"Caspian/Yellow-legged Gull","Larus cachinnans/michahellis","Caspian/Yellow-legged Gull"
"Lesser Black-backed Gull","Larus fuscus","Lesser Black-backed Gull"
"white-winged gull sp.","Larus sp. (white-winged gull sp.)","white-winged gull sp."
"Larus sp.","Larus sp.","Larus gull sp."
"gull sp.","Larinae sp.","gull sp."
"Indian Skimmer","Rynchops albicollis","Indian Skimmer"
"White Tern","Gygis alba","White Tern"
"Brown Noddy","Anous stolidus","Brown Noddy"
"Lesser Noddy","Anous tenuirostris","Lesser Noddy"
"Black Noddy","Anous minutus","Black Noddy"
"Brown/Black Noddy","Anous stolidus/minutus","Brown/Black Noddy"
"Sooty Tern","Onychoprion fuscatus","Sooty Tern"
"Bridled Tern","Onychoprion anaethetus","Bridled Tern"
"Sooty/Bridled Tern","Onychoprion fuscatus/anaethetus","Sooty/Bridled Tern"
"Little Tern","Sternula albifrons","Little Tern"
"Saunders's Tern","Sternula saundersi","Saunders's Tern"
"Little/Saunders's Tern","Sternula albifrons/saundersi","Little/Saunders's Tern"
"Little/Least Tern","Sternula albifrons/antillarum","Little/Least Tern"
"Gull-billed Tern","Gelochelidon nilotica","Gull-billed Tern"
"Gull-billed/Australian Tern","Gelochelidon nilotica/macrotarsa","Gull-billed/Australian Tern"
"Caspian Tern","Hydroprogne caspia","Caspian Tern"
"Whiskered Tern","Chlidonias hybrida","Whiskered Tern"
"Black Tern","Chlidonias niger","Black Tern"
"White-winged Tern","Chlidonias leucopterus","White-winged Tern"
"Chlidonias sp.","Chlidonias sp.","Chlidonias tern sp."
"River Tern","Sterna aurantia","River Tern"
"Arctic Tern","Sterna paradisaea","Arctic Tern"
"Common Tern","Sterna hirundo","Common Tern"
"White-cheeked Tern","Sterna repressa","White-cheeked Tern"
"Black-naped Tern","Sterna sumatrana","Black-naped Tern"
"Roseate Tern","Sterna dougallii","Roseate Tern"
"Black-bellied Tern","Sterna acuticauda","Black-bellied Tern"
"River/Black-bellied Tern","Sterna aurantia/acuticauda","River/Black-bellied Tern"
"Sterna sp.","Sterna sp.","Sterna tern sp."
"Sandwich Tern","Thalasseus sandvicensis","Sandwich Tern"
"Lesser Crested Tern","Thalasseus bengalensis","Lesser Crested Tern"
"Great Crested Tern","Thalasseus bergii","Great Crested Tern"
"Thalasseus sp.","Thalasseus sp.","Thalasseus tern sp."
"large tern sp.","Hydroprogne/Thalasseus sp.","large tern sp."
"tern sp.","Sterninae sp.","tern sp."
"gull/tern sp.","Laridae sp.","gull/tern/skimmer sp."
"White-tailed Tropicbird","Phaethon lepturus","White-tailed Tropicbird"
"Red-billed Tropicbird","Phaethon aethereus","Red-billed Tropicbird"
"Red-tailed Tropicbird","Phaethon rubricauda","Red-tailed Tropicbird"
"tropicbird sp.","Phaethon sp.","tropicbird sp."
"Red-throated Loon","Gavia stellata","Red-throated Loon"
"Arctic Loon","Gavia arctica","Arctic Loon"
"Light-mantled Albatross","Phoebetria palpebrata","Light-mantled Albatross"
"Wilson's Storm-Petrel","Oceanites oceanicus","Wilson's Storm-Petrel"
"White-faced Storm-Petrel","Pelagodroma marina","White-faced Storm-Petrel"
"Black-bellied Storm-Petrel","Fregetta tropica","Black-bellied Storm-Petrel"
"Swinhoe's Storm-Petrel","Hydrobates monorhis","Swinhoe's Storm-Petrel"
"Hydrobates sp.","Hydrobates sp.","Oceanodroma storm-petrel sp."
"storm-petrel sp. (white-rumped)","Oceanitidae/Hydrobatidae sp. (white-rumped)","storm-petrel sp. (white-rumped)"
"storm-petrel sp.","Oceanitidae/Hydrobatidae sp.","storm-petrel sp."
"Barau's Petrel","Pterodroma baraui","Barau's Petrel"
"Jouanin's Petrel","Bulweria fallax","Jouanin's Petrel"
"Streaked Shearwater","Calonectris leucomelas","Streaked Shearwater"
"Cory's Shearwater","Calonectris diomedea","Cory's Shearwater"
"Flesh-footed Shearwater","Ardenna carneipes","Flesh-footed Shearwater"
"Wedge-tailed Shearwater","Ardenna pacifica","Wedge-tailed Shearwater"
"Sooty Shearwater","Ardenna grisea","Sooty Shearwater"
"Short-tailed Shearwater","Ardenna tenuirostris","Short-tailed Shearwater"
"Sooty/Short-tailed Shearwater","Ardenna grisea/tenuirostris","Sooty/Short-tailed Shearwater"
"Tropical Shearwater","Puffinus bailloni","Tropical Shearwater"
"Persian Shearwater","Puffinus persicus","Persian Shearwater"
"shearwater sp.","Procellariidae sp. (shearwater sp.)","shearwater sp."
"procellariid sp.","Procellariidae sp.","procellariid sp."
"Asian Openbill","Anastomus oscitans","Asian Openbill"
"Black Stork","Ciconia nigra","Black Stork"
"Asian Woolly-necked Stork","Ciconia episcopus","Asian Woolly-necked Stork"
"White Stork","Ciconia ciconia","White Stork"
"Ciconia sp.","Ciconia sp.","Ciconia stork sp."
"Black-necked Stork","Ephippiorhynchus asiaticus","Black-necked Stork"
"Lesser Adjutant","Leptoptilos javanicus","Lesser Adjutant"
"Greater Adjutant","Leptoptilos dubius","Greater Adjutant"
"Lesser/Greater Adjutant","Leptoptilos javanicus/dubius","Lesser/Greater Adjutant"
"Painted Stork","Mycteria leucocephala","Painted Stork"
"stork sp.","Ciconiidae sp.","stork sp."
"Lesser Frigatebird","Fregata ariel","Lesser Frigatebird"
"Great Frigatebird","Fregata minor","Great Frigatebird"
"Christmas Island Frigatebird","Fregata andrewsi","Christmas Island Frigatebird"
"frigatebird sp.","Fregata sp.","frigatebird sp."
"Red-footed Booby","Sula sula","Red-footed Booby"
"Brown Booby","Sula leucogaster","Brown Booby"
"Masked Booby","Sula dactylatra","Masked Booby"
"Oriental Darter","Anhinga melanogaster","Oriental Darter"
"Little Cormorant","Microcarbo niger","Little Cormorant"
"Great Cormorant","Phalacrocorax carbo","Great Cormorant"
"Indian Cormorant","Phalacrocorax fuscicollis","Indian Cormorant (Indian Shag)"
"Little/Indian Cormorant","Microcarbo niger/Phalacrocorax fuscicollis","Little/Indian Cormorant"
"cormorant sp.","Phalacrocoracidae sp.","cormorant sp."
"Great White Pelican","Pelecanus onocrotalus","Great White Pelican (Rosy Pelican)"
"Spot-billed Pelican","Pelecanus philippensis","Spot-billed Pelican"
"Dalmatian Pelican","Pelecanus crispus","Dalmatian Pelican"
"pelican sp.","Pelecanus sp.","pelican sp."
"Great Bittern","Botaurus stellaris","Great Bittern"
"Black Bittern","Ixobrychus flavicollis","Black Bittern"
"Cinnamon Bittern","Ixobrychus cinnamomeus","Cinnamon Bittern"
"Little Bittern","Ixobrychus minutus","Little Bittern"
"Yellow Bittern","Ixobrychus sinensis","Yellow Bittern"
"Cinnamon/Yellow Bittern","Ixobrychus cinnamomeus/sinensis","Cinnamon/Yellow Bittern"
"small bittern sp.","Ixobrychus sp.","small bittern sp."
"Black-crowned Night Heron","Nycticorax nycticorax","Black-crowned Night Heron"
"Malayan Night Heron","Gorsachius melanolophus","Malayan Night Heron"
"Pacific Reef-Heron","Egretta sacra","Pacific Reef-Heron (Pacific Reef-Egret)"
"Chinese Egret","Egretta eulophotes","Chinese Egret"
"Little Egret","Egretta garzetta","Little Egret"
"Western Reef-Heron","Egretta gularis","Western Reef-Heron (Western Reef-Egret)"
"Little Egret x Western Reef-Heron (hybrid)","Egretta garzetta x gularis","Little Egret x Western Reef-Heron (hybrid)"
"Little Egret/Western Reef-Heron","Egretta garzetta/gularis","Little Egret/Western Reef-Heron"
"White-eared Night Heron","Oroanassa magnifica","White-eared Night Heron"
"Striated Heron","Butorides striata","Striated Heron (Little Heron)"
"Indian Pond-Heron","Ardeola grayii","Indian Pond-Heron"
"Chinese Pond-Heron","Ardeola bacchus","Chinese Pond-Heron"
"Javan Pond-Heron","Ardeola speciosa","Javan Pond-Heron"
"pond-heron sp.","Ardeola sp.","pond-heron sp."
"Eastern Cattle Egret","Bubulcus coromandus","Eastern Cattle Egret"
"Western/Eastern Cattle Egret","Bubulcus ibis/coromandus","Western/Eastern Cattle Egret"
"Great Egret","Ardea alba","Great Egret"
"Medium Egret","Ardea intermedia","Intermediate Egret (Medium Egret)"
"Eastern Cattle/Medium Egret","Bubulcus coromandus/Ardea intermedia","Eastern Cattle/Medium Egret"
"Great/Medium Egret","Ardea alba/intermedia","Great/Medium Egret"
"Gray Heron","Ardea cinerea","Grey Heron"
"Purple Heron","Ardea purpurea","Purple Heron"
"Gray/Purple Heron","Ardea cinerea/purpurea","Grey/Purple Heron"
"White-bellied Heron","Ardea insignis","White-bellied Heron"
"Goliath Heron","Ardea goliath","Goliath Heron"
"Ardea sp.","Ardea sp.","Ardea heron sp."
"heron sp.","Ardeidae sp.","heron sp."
"white egret sp.","Egretta/Bubulcus/Ardea sp.","white egret sp."
"Glossy Ibis","Plegadis falcinellus","Glossy Ibis"
"Black-headed Ibis","Threskiornis melanocephalus","Black-headed Ibis"
"Red-naped Ibis","Pseudibis papillosa","Red-naped Ibis (Indian Black Ibis)"
"ibis sp.","Threskiornithidae sp. (ibis sp.)","ibis sp."
"Eurasian Spoonbill","Platalea leucorodia","Eurasian Spoonbill"
"Black Vulture","Coragyps atratus","Black Vulture"
"Osprey","Pandion haliaetus","Osprey"
"Black-winged Kite","Elanus caeruleus","Black-winged Kite (Black-shouldered Kite)"
"Bearded Vulture","Gypaetus barbatus","Bearded Vulture (Lammergeier)"
"Egyptian Vulture","Neophron percnopterus","Egyptian Vulture"
"European Honey-buzzard","Pernis apivorus","European Honey-buzzard"
"Oriental Honey-buzzard","Pernis ptilorhynchus","Oriental Honey-buzzard (Crested Honey Buzzard)"
"European x Oriental Honey-buzzard (hybrid)","Pernis apivorus x ptilorhynchus","European x Oriental Honey-buzzard (hybrid)"
"European/Oriental Honey-buzzard","Pernis apivorus/ptilorhynchus","European/Oriental Honey-buzzard"
"Jerdon's Baza","Aviceda jerdoni","Jerdon's Baza"
"Black Baza","Aviceda leuphotes","Black Baza"
"Red-headed Vulture","Sarcogyps calvus","Red-headed Vulture"
"Cinereous Vulture","Aegypius monachus","Cinereous Vulture"
"White-rumped Vulture","Gyps bengalensis","White-rumped Vulture"
"Indian Vulture","Gyps indicus","Indian Vulture (Indian Long-billed Vulture)"
"Slender-billed Vulture","Gyps tenuirostris","Slender-billed Vulture (Himalayan Long-billed Vulture)"
"Himalayan Griffon","Gyps himalayensis","Himalayan Griffon (Himalayan Vulture)"
"Eurasian Griffon","Gyps fulvus","Eurasian Griffon (Griffon Vulture)"
"Himalayan/Eurasian Griffon","Gyps himalayensis/fulvus","Himalayan/Eurasian Griffon"
"Gyps sp.","Gyps sp.","Gyps vulture sp."
"old world vulture sp.","Accipitridae sp. (old world vulture sp.)","old world vulture sp."
"Nicobar Serpent-Eagle","Spilornis klossi","Nicobar Serpent-Eagle"
"Crested Serpent-Eagle","Spilornis cheela","Crested Serpent-Eagle"
"Andaman Serpent-Eagle","Spilornis elgini","Andaman Serpent-Eagle"
"Short-toed Snake-Eagle","Circaetus gallicus","Short-toed Snake-Eagle"
"Legge's Hawk-Eagle","Nisaetus kelaarti","Legge's Hawk-Eagle"
"Mountain Hawk-Eagle","Nisaetus nipalensis","Mountain Hawk-Eagle"
"Changeable Hawk-Eagle","Nisaetus cirrhatus","Changeable Hawk-Eagle"
"Nisaetus sp.","Nisaetus sp.","Nisaetus hawk-eagle sp."
"Rufous-bellied Eagle","Lophotriorchis kienerii","Rufous-bellied Eagle"
"Black Eagle","Ictinaetus malaiensis","Black Eagle"
"Indian Spotted Eagle","Clanga hastata","Indian Spotted Eagle"
"Greater Spotted Eagle","Clanga clanga","Greater Spotted Eagle"
"Lesser/Greater Spotted Eagle","Clanga pomarina/clanga","Lesser/Greater Spotted Eagle"
"Indian/Greater Spotted Eagle","Clanga hastata/clanga","Indian/Greater Spotted Eagle"
"Booted Eagle","Hieraaetus pennatus","Booted Eagle"
"Tawny Eagle","Aquila rapax","Tawny Eagle"
"Steppe Eagle","Aquila nipalensis","Steppe Eagle"
"Tawny/Steppe Eagle","Aquila rapax/nipalensis","Tawny/Steppe Eagle"
"Imperial Eagle","Aquila heliaca","Imperial Eagle"
"Golden Eagle","Aquila chrysaetos","Golden Eagle"
"Bonelli's Eagle","Aquila fasciata","Bonelli's Eagle"
"Aquila sp.","Aquila sp.","Aquila eagle sp."
"Clanga/Aquila sp.","Clanga/Aquila sp.","Clanga/Aquila sp."
"White-eyed Buzzard","Butastur teesa","White-eyed Buzzard"
"Rufous-winged Buzzard","Butastur liventer","Rufous-winged Buzzard"
"Gray-faced Buzzard","Butastur indicus","Grey-faced Buzzard"
"Western Marsh Harrier","Circus aeruginosus","Western Marsh Harrier"
"Eastern Marsh Harrier","Circus spilonotus","Eastern Marsh Harrier"
"Western/Eastern Marsh Harrier","Circus aeruginosus/spilonotus","Western/Eastern Marsh Harrier"
"Hen Harrier","Circus cyaneus","Hen Harrier"
"Pallid Harrier","Circus macrourus","Pallid Harrier"
"Pied Harrier","Circus melanoleucos","Pied Harrier"
"Montagu's Harrier","Circus pygargus","Montagu's Harrier"
"Hen/Montagu's Harrier","Circus cyaneus/pygargus","Hen/Montagu's Harrier"
"Pallid/Montagu's Harrier","Circus macrourus/pygargus","Pallid/Montagu's Harrier"
"harrier sp.","Circus sp.","harrier sp."
"Crested Goshawk","Accipiter trivirgatus","Crested Goshawk"
"Shikra","Accipiter badius","Shikra"
"Nicobar Sparrowhawk","Accipiter butleri","Nicobar Sparrowhawk"
"Levant Sparrowhawk","Accipiter brevipes","Levant Sparrowhawk"
"Chinese Sparrowhawk","Accipiter soloensis","Chinese Sparrowhawk"
"Japanese Sparrowhawk","Accipiter gularis","Japanese Sparrowhawk"
"Besra","Accipiter virgatus","Besra"
"Japanese Sparrowhawk/Besra","Accipiter gularis/virgatus","Japanese Sparrowhawk/Besra"
"Crested Goshawk/Besra","Accipiter trivirgatus/virgatus","Crested Goshawk/Besra"
"Eurasian Sparrowhawk","Accipiter nisus","Eurasian Sparrowhawk"
"Levant/Eurasian Sparrowhawk","Accipiter brevipes/nisus","Levant/Eurasian Sparrowhawk"
"Eurasian Goshawk","Accipiter gentilis","Eurasian Goshawk (Northern Goshawk)"
"Eurasian Sparrowhawk/Eurasian Goshawk","Accipiter nisus/gentilis","Eurasian Sparrowhawk/Eurasian Goshawk"
"Accipiter sp.","Accipiter sp.","Accipiter hawk/goshawk/sparrowhawk sp."
"Red Kite","Milvus milvus","Red Kite"
"Black Kite","Milvus migrans","Black Kite"
"Red/Black Kite","Milvus milvus/migrans","Red/Black Kite"
"Brahminy Kite","Haliastur indus","Brahminy Kite"
"Black/Brahminy Kite","Milvus migrans/Haliastur indus","Black/Brahminy Kite"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus","Pallas's Fish-Eagle"
"White-tailed Eagle","Haliaeetus albicilla","White-tailed Eagle"
"White-bellied Sea-Eagle","Icthyophaga leucogaster","White-bellied Sea-Eagle"
"Lesser Fish-Eagle","Icthyophaga humilis","Lesser Fish-Eagle"
"Gray-headed Fish-Eagle","Icthyophaga ichthyaetus","Grey-headed Fish-Eagle"
"Lesser/Gray-headed Fish-Eagle","Icthyophaga humilis/ichthyaetus","Lesser/Grey-headed Fish-Eagle"
"Rough-legged Hawk","Buteo lagopus","Rough-legged Hawk"
"Common Buzzard","Buteo buteo","Common Buzzard"
"Himalayan Buzzard","Buteo refectus","Himalayan Buzzard"
"Common/Himalayan Buzzard","Buteo buteo/refectus","Common/Himalayan Buzzard"
"Himalayan/Eastern Buzzard","Buteo refectus/japonicus","Himalayan/Eastern Buzzard"
"Common/Himalayan/Eastern Buzzard","Buteo buteo/refectus/japonicus","Common/Himalayan/Eastern Buzzard"
"Long-legged Buzzard","Buteo rufinus","Long-legged Buzzard"
"Common/Long-legged Buzzard","Buteo buteo/rufinus","Common/Long-legged Buzzard"
"Upland Buzzard","Buteo hemilasius","Upland Buzzard"
"Long-legged/Upland Buzzard","Buteo rufinus/hemilasius","Long-legged/Upland Buzzard"
"Buteo sp.","Buteo sp.","Buteo hawk/buzzard sp."
"Buteo/eagle sp.","Buteo/eagle sp.","Buteo/eagle sp."
"hawk sp.","Accipitridae sp. (hawk sp.)","hawk sp."
"eagle sp.","Accipitridae sp. (eagle sp.)","eagle sp."
"Australasian Grass-Owl","Tyto longimembris","Australasian Grass-Owl"
"Barn Owl","Tyto alba","Barn Owl"
"Andaman Masked-Owl","Tyto deroepstorffi","Andaman Masked-Owl"
"Oriental Bay-Owl","Phodilus badius","Oriental Bay-Owl"
"Sri Lanka Bay-Owl","Phodilus assimilis","Sri Lanka Bay-Owl"
"Andaman Scops-Owl","Otus balli","Andaman Scops-Owl"
"Mountain Scops-Owl","Otus spilocephalus","Mountain Scops-Owl"
"Indian Scops-Owl","Otus bakkamoena","Indian Scops-Owl (Collared Scops-Owl)"
"Collared Scops-Owl","Otus lettia","Collared Scops-Owl"
"Nicobar Scops-Owl","Otus alius","Nicobar Scops-Owl"
"Eurasian Scops-Owl","Otus scops","Eurasian Scops-Owl"
"Pallid Scops-Owl","Otus brucei","Pallid Scops-Owl"
"Eurasian/Pallid Scops-Owl","Otus scops/brucei","Eurasian/Pallid Scops-Owl"
"Oriental Scops-Owl","Otus sunia","Oriental Scops-Owl"
"scops-owl sp.","Otus sp.","scops-owl sp."
"Rock Eagle-Owl","Bubo bengalensis","Rock Eagle-Owl (Indian Eagle-Owl)"
"Eurasian Eagle-Owl","Bubo bubo","Eurasian Eagle-Owl"
"Bubo sp.","Bubo sp.","Bubo owl sp."
"Buffy Fish-Owl","Ketupa ketupu","Buffy Fish-Owl"
"Brown Fish-Owl","Ketupa zeylonensis","Brown Fish-Owl"
"Tawny Fish-Owl","Ketupa flavipes","Tawny Fish-Owl"
"Dusky Eagle-Owl","Ketupa coromanda","Dusky Eagle-Owl"
"Spot-bellied Eagle-Owl","Ketupa nipalensis","Spot-bellied Eagle-Owl"
"Asian Barred Owlet","Glaucidium cuculoides","Asian Barred Owlet"
"Jungle Owlet","Glaucidium radiatum","Jungle Owlet"
"Asian Barred/Jungle Owlet","Glaucidium cuculoides/radiatum","Asian Barred/Jungle Owlet"
"Glaucidium sp.","Glaucidium sp.","Glaucidium owlet sp."
"Collared Owlet","Taenioptynx brodiei","Collared Owlet"
"Spotted Owlet","Athene brama","Spotted Owlet"
"Little Owl","Athene noctua","Little Owl"
"Forest Owlet","Athene blewitti","Forest Owlet"
"Mottled Wood-Owl","Strix ocellata","Mottled Wood-Owl"
"Brown Wood-Owl","Strix leptogrammica","Brown Wood-Owl"
"Tawny Owl","Strix aluco","Tawny Owl"
"Himalayan Owl","Strix nivicolum","Himalayan Owl"
"Long-eared Owl","Asio otus","Long-eared Owl"
"Short-eared Owl","Asio flammeus","Short-eared Owl"
"Boreal Owl","Aegolius funereus","Boreal Owl"
"Andaman Boobook","Ninox affinis","Andaman Hawk-Owl"
"Brown Boobook","Ninox scutulata","Brown Hawk-Owl"
"Hume's Boobook","Ninox obscura","Hume's Hawk-Owl"
"Brown/Northern Boobook","Ninox scutulata/japonica","Brown/Northern Boobook"
"owl sp.","Strigiformes sp.","owl sp."
"Malabar Trogon","Harpactes fasciatus","Malabar Trogon"
"Red-headed Trogon","Harpactes erythrocephalus","Red-headed Trogon"
"Ward's Trogon","Harpactes wardi","Ward's Trogon"
"asian trogon sp.","Apalharpactes/Harpactes sp.","asian trogon sp."
"Eurasian Hoopoe","Upupa epops","Eurasian Hoopoe"
"Tockus sp.","Tockus sp.","Tockus hornbill sp."
"Great Hornbill","Buceros bicornis","Great Hornbill (Great Pied Hornbill)"
"Brown Hornbill","Anorrhinus austeni","Brown Hornbill"
"Indian Gray Hornbill","Ocyceros birostris","Indian Grey Hornbill"
"Malabar Gray Hornbill","Ocyceros griseus","Malabar Grey Hornbill"
"Indian/Malabar Gray Hornbill","Ocyceros birostris/griseus","Indian/Malabar Grey Hornbill"
"Malabar Pied-Hornbill","Anthracoceros coronatus","Malabar Pied-Hornbill"
"Oriental Pied-Hornbill","Anthracoceros albirostris","Oriental Pied-Hornbill"
"Malabar/Oriental Pied-Hornbill","Anthracoceros coronatus/albirostris","Malabar/Oriental Pied-Hornbill"
"Rufous-necked Hornbill","Aceros nipalensis","Rufous-necked Hornbill"
"Wreathed Hornbill","Rhyticeros undulatus","Wreathed Hornbill"
"Wreathed/Plain-pouched Hornbill","Rhyticeros undulatus/subruficollis","Wreathed/Plain-pouched Hornbill"
"Narcondam Hornbill","Rhyticeros narcondami","Narcondam Hornbill"
"hornbill sp.","Bucerotidae sp.","hornbill sp."
"Blyth's Kingfisher","Alcedo hercules","Blyth's Kingfisher"
"Common Kingfisher","Alcedo atthis","Common Kingfisher (Small Blue Kingfisher)"
"Blue-eared Kingfisher","Alcedo meninting","Blue-eared Kingfisher"
"Common/Blue-eared Kingfisher","Alcedo atthis/meninting","Common/Blue-eared Kingfisher"
"Black-backed Dwarf-Kingfisher","Ceyx erithaca","Black-backed Dwarf-Kingfisher (Oriental Dwarf Kingfisher)"
"Rufous-backed Dwarf-Kingfisher","Ceyx rufidorsa","Rufous-backed Dwarf-Kingfisher"
"Brown-winged Kingfisher","Pelargopsis amauroptera","Brown-winged Kingfisher"
"Stork-billed Kingfisher","Pelargopsis capensis","Stork-billed Kingfisher"
"Ruddy Kingfisher","Halcyon coromanda","Ruddy Kingfisher"
"White-throated Kingfisher","Halcyon smyrnensis","White-throated Kingfisher"
"Black-capped Kingfisher","Halcyon pileata","Black-capped Kingfisher"
"Collared Kingfisher","Todiramphus chloris","Collared Kingfisher"
"Crested Kingfisher","Megaceryle lugubris","Crested Kingfisher"
"Pied Kingfisher","Ceryle rudis","Pied Kingfisher"
"kingfisher sp.","Alcedinidae sp.","kingfisher sp."
"Blue-bearded Bee-eater","Nyctyornis athertoni","Blue-bearded Bee-eater"
"Asian Green Bee-eater","Merops orientalis","Asian Green Bee-eater"
